NP,Sítio,Coleta,Nível,Localização,Técnica de transformação,Matéria-prima,Classe artefatual,Tipo de córtex,Alterações da superfície,Comprimento,Largura,Espessura,Tipo de lascas,Talão,Preparação no talão,Canto ventral do plano de percussão direto,Forma do bulbo,Número de cicatrizes,Direção das cicatrizes,Perfil,Tipo de núcleo,Tipo de plataforma de percussão,Preparação,Tipo de instrumento,Base de modificação primária,Quantidade de gumes,Sentido de utilização da lasca
Ant 1,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 1,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 1,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 1,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 1,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 1,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 1,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 1,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 1,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 1,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 1,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 1,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 1,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Quartzo leitoso,Lasca,Inexistente,Sem alteração,,,,Lasca de debitagem,,,,,,,,,,,,,,
Ant 1,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Quartzo leitoso,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 1,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Quartzo leitoso,Lasca,Inexistente,Sem alteração,,,,Lasca de retoque,,,,,,,,,,,,,,
Ant 1,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,,,,Lasca de formatação,Facetado,Indeterminado,Com formação de lábio,Pronunciado,4 ou +,Ortogonal,Retilíneo,,,,,,,
Ant 1,Barra D’Anta,-,Superfície,-,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,,,,Indeterminado,,,,,,,,,,,,,,
Ant 1,Barra D’Anta,-,Superfície,-,Indeterminado,Silexito,Detrito,Seixo,Sem alteração,,,,,,,,,,,,,,,,,,
Ant 2.1,Barra D’Anta,A1,Superfície,I,Vestígios de impacto,Quartzito,Instrumento,Seixo,Sem alteração,9 a 10 cm,6 a 7 cm,3 a 4 cm,,,,,,,,,,,,Instrumento sobre peça bruta,Seixo,Indeterminado,Distal
Ant 2.2,Barra D’Anta,A2,Superfície,I,Indeterminado,Basalto,Detrito,Inexistente,Queima/Alteração de cor,6 a 7 cm,3 a 4 cm,2 a 3 cm,,,,,,,,,,,,,,,
Ant 2.3,Barra D’Anta,A2,Superfície,I,Lascamento Unipolar,Basalto,Lasca,Inexistente,Queima/Alteração de cor,4 a 5 cm,7 a 8 cm,1 a 2 cm,Lasca de debitagem,Liso,Sem preparação,Sem formação de lábio,Pronunciado,1,Uma cicatriz apenas,Retilíneo,,,,,,,
Ant 2.4,Barra D’Anta,A2,Superfície,I,Lascamento Unipolar,Basalto,Lasca,Inexistente,Sem alteração,2 a 3 cm,3 a 4 cm,0 a 1 cm,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Nenhuma,Sem informação,Retilíneo,,,,,,,
Ant 2.5,Barra D’Anta,A2,Superfície,I,Lascamento Unipolar,Quartzo leitoso,Lasca,Seixo,Sem alteração,3 a 4 cm,2 a 3 cm,1 a 2 cm,Lasca cortical,Indeterminado,Indeterminado,Indeterminado,Indeterminado,1,Uma cicatriz apenas,Retilíneo,,,,,,,
Ant 2.6,Barra D’Anta,A2,Superfície,I,Lascamento Unipolar,Silexito,Núcleo,Seixo,Sem alteração,5 a 6 cm,4 a 5 cm,3 a 4 cm,,,,,,,,,Núcleo unipolar com dois planos de percussão em ângulo,Cortical,Sem preparação,,,,
