TN,X,Y,Z,descricao
TN-174,655933056,6946244337,688234,Terreno
TN-175,655925600,6946242778,688333,Terreno
TN-176,655916396,6946242677,688705,Terreno
TN-177,655910437,6946236096,688595,Terreno
TN-178,655917980,6946232413,687961,Terreno
TN-179,655926947,6946227906,686921,Terreno
TN-180,655922745,6946220382,686632,Terreno
TN-181,655915507,6946224335,687778,Terreno
TN-182,655908935,6946231160,688512,Terreno
TN-183,655903809,6946236606,688988,Terreno
TN-184,655900160,6946230147,689033,Terreno
TN-185,655904253,6946221284,688666,Terreno
TN-186,655911512,6946214424,687486,Terreno
TN-187,655908122,6946207064,687083,Terreno
TN-188,655902115,6946209551,687782,Terreno
TN-189,655900378,6946216976,688682,Terreno
TN-190,655898941,6946222633,689092,Terreno
TN-191,655896538,6946228947,689049,Terreno
TN-192,655898109,6946236883,689064,Terreno
TN-193,655922826,6946206684,684410,Terreno
TN-194,655922844,6946206653,684407,Terreno
TN-195,655920688,6946203671,684378,Terreno
TN-196,655913535,6946198770,684656,Terreno
TN-197,655904343,6946197493,685218,Terreno
TN-198,655897158,6946198855,685997,Terreno
TN-199,655890035,6946198341,686380,Terreno
TN-200,655883822,6946199622,686715,Terreno
TN-201,655878148,6946202623,687183,Terreno
TN-202,655873097,6946200663,686206,Terreno
TN-203,655876910,6946206727,687548,Terreno
TN-204,655885477,6946205940,688088,Terreno
TN-205,655893755,6946204812,687550,Terreno
TN-206,655885385,6946216838,688545,Terreno
TN-207,655885387,6946216841,688546,Terreno
TN-208,655886413,6946225243,688336,Terreno
TN-209,655888450,6946232951,688496,Terreno
TN-210,655888134,6946242199,688575,Terreno
TN-211,655887763,6946251191,689326,Terreno
TN-212,655887924,6946258769,690330,Terreno
TN-213,655879474,6946261957,690864,Terreno
TN-214,655888514,6946258431,690293,Terreno
TN-215,655875358,6946257386,689976,Terreno
TN-216,655868519,6946254097,688954,Terreno
TN-217,655864614,6946248471,687888,Terreno
TN-218,655865435,6946240697,687006,Terreno
TN-219,655868384,6946233248,686678,Terreno
TN-220,655871163,6946225869,686718,Terreno
TN-221,655874420,6946219207,687125,Terreno
TN-222,655878964,6946214342,687963,Terreno
TN-223,655871656,6946211954,687029,Terreno
TN-224,655868496,6946214227,686413,Terreno
TN-225,655864760,6946217476,685765,Terreno
TN-226,655860597,6946218009,685175,Terreno
TN-227,655856478,6946224098,684760,Terreno
TN-228,655861553,6946230119,685681,Terreno
TN-229,655858962,6946236730,686008,Terreno
TN-230,655853935,6946242736,686152,Terreno
TN-231,655849832,6946249015,686661,Terreno
TN-232,655849462,6946255564,687983,Terreno
TN-233,655847317,6946261620,689481,Terreno
TN-234,655847058,6946267368,691347,Terreno
TN-235,655840859,6946271397,691910,Terreno
TN-236,655837902,6946265436,690324,Terreno
TN-237,655837110,6946258574,688460,Terreno
TN-238,655834498,6946252540,686547,Terreno
TN-239,655830777,6946246767,684776,Terreno
TN-240,655830311,6946236669,683016,Terreno
TN-241,655832041,6946227845,682304,Terreno
TN-242,655835530,6946219329,682391,Terreno
TN-243,655840529,6946212535,682559,Terreno
TN-244,655846364,6946204420,682817,Terreno
TN-245,655851337,6946197507,682851,Terreno
TN-246,655857298,6946199125,683826,Terreno
TN-247,655860550,6946205642,685070,Terreno
TN-248,655857519,6946214367,684680,Terreno
TN-249,655851168,6946223670,684141,Terreno
TN-250,655847273,6946233128,684303,Terreno
TN-251,655845812,6946242143,685236,Terreno
TN-252,655842648,6946187935,681617,Terreno
TN-255,655895148,6946194569,685016,Terreno
TN-256,655903833,6946195198,684582,Terreno
TN-257,655904445,6946190687,683170,Terreno
TN-258,655910697,6946194354,683865,Terreno
TN-259,655910855,6946188997,682228,Terreno
TN-260,655903157,6946185004,681595,Terreno
TN-261,655896756,6946186343,682221,Terreno
TN-262,655891818,6946190197,683727,Terreno
TN-263,655889841,6946183901,681994,Terreno
TN-264,655888496,6946177289,680357,Terreno
TN-265,655886338,6946169525,679117,Terreno
TN-266,655884907,6946158384,678146,Terreno
TN-267,655894723,6946157783,677139,Terreno
TN-268,655894568,6946174224,679494,Terreno
TN-269,655895773,6946182673,681344,Terreno
TN-270,655883636,6946195191,685540,Terreno
TN-271,655883643,6946195192,685540,Terreno
TN-272,655880087,6946189780,683959,Terreno
TN-273,655877780,6946183426,682778,Terreno
TN-274,655876004,6946176699,681746,Terreno
TN-275,655872995,6946170308,680849,Terreno
TN-276,655869193,6946161442,680057,Terreno
TN-277,655858729,6946167378,680715,Terreno
TN-278,655861722,6946175553,681502,Terreno
TN-279,655866215,6946183964,682772,Terreno
TN-280,655871350,6946193187,684542,Terreno
TN-281,655863874,6946200125,685073,Terreno
TN-282,655858600,6946195774,683799,Terreno
TN-283,655855324,6946188949,682419,Terreno
